epoch,lr
1,1e-05
2,1e-05
3,1e-05
4,1e-05
5,1e-05
6,1e-05
7,1e-05
8,1e-05
9,1e-05
10,1e-05
11,1e-05
12,1e-06
13,1e-06
14,1e-06
15,1e-06
16,1e-06
17,1e-06
18,1e-06
19,1e-06
20,1e-06
21,1e-06
22,1e-06
23,1e-06
24,1e-06
25,1e-06
26,1e-06
27,1e-06
28,1e-06
29,1e-06
30,1e-06
31,1e-06
32,1e-06
33,1e-07
34,1e-07
35,1e-07
36,1e-07
37,1e-07
38,1e-07
39,1e-08
40,1e-08
41,1e-08
42,1e-08
43,1e-08
44,1e-08
45,1e-08
46,1e-08
47,1e-08
48,1e-08
49,1e-08
50,1e-08
51,1e-08
52,1e-08
53,1e-08
54,1e-08
55,1e-08
56,1e-08
57,1e-08
58,1e-08
59,1e-08
60,1e-08
61,1e-08
62,1e-08
63,1e-08
64,1e-08
65,1e-08
66,1e-08
67,1e-08
68,1e-08
69,1e-08
70,1e-08
71,1e-08
72,1e-08
73,1e-08
74,1e-08
75,1e-08
76,1e-08
77,1e-08
78,1e-08
79,1e-08
80,1e-08
81,1e-08
82,1e-08
83,1e-08
84,1e-08
85,1e-08
86,1e-08
87,1e-08
88,1e-08
89,1e-08
90,1e-08
91,1e-08
92,1e-08
93,1e-08
94,1e-08
95,1e-08
96,1e-08
97,1e-08
98,1e-08
99,1e-08
100,1e-08
