epoch,train_loss,val_dice,val_miou,val_miou_fg,iou_background,iou_monolayer,iou_fewlayer,iou_multilayer,lr,time_s
1,0.488758,0.466400,0.478078,0.399440,0.713994,0.622755,0.398922,0.176643,1.00e-05,92.8
2,0.353129,0.640250,0.775022,0.712173,0.963571,0.584224,0.578841,0.973453,1.00e-05,92.0
3,0.385671,0.634200,0.803768,0.753138,0.955659,0.623745,0.671044,0.964626,1.00e-05,91.9
4,0.370262,0.681314,0.859614,0.824262,0.965672,0.709566,0.786569,0.976650,1.00e-05,92.2
5,0.280753,0.665328,0.804755,0.752497,0.961527,0.618227,0.664921,0.974344,1.00e-05,92.4
6,0.272526,0.721068,0.864564,0.827916,0.974506,0.797375,0.723238,0.963136,1.00e-05,92.4
7,0.245316,0.674532,0.796681,0.738830,0.970234,0.629105,0.613534,0.973850,1.00e-05,92.3
8,0.263418,0.678152,0.848938,0.808245,0.971019,0.749191,0.707790,0.967753,1.00e-05,92.6
9,0.264093,0.685105,0.862845,0.823930,0.979591,0.832806,0.685373,0.953612,1.00e-05,92.2
10,0.278497,0.679832,0.876440,0.841306,0.981845,0.823527,0.728769,0.971621,1.00e-05,92.4
11,0.223797,0.633482,0.796455,0.735779,0.978482,0.732005,0.512371,0.962961,1.00e-05,92.0
12,0.220206,0.641734,0.845391,0.804993,0.966585,0.695184,0.742157,0.977639,1.00e-06,92.1
13,0.236562,0.700865,0.892209,0.862955,0.979970,0.817358,0.793153,0.978353,1.00e-06,92.1
14,0.195827,0.718892,0.908394,0.882660,0.985595,0.871516,0.797958,0.978506,1.00e-06,92.4
15,0.196786,0.706429,0.891085,0.859848,0.984797,0.840116,0.761583,0.977846,1.00e-06,92.4
16,0.199179,0.705390,0.907264,0.881980,0.983116,0.866327,0.803209,0.976404,1.00e-06,92.1
17,0.189003,0.722468,0.911000,0.886735,0.983795,0.878512,0.806529,0.975164,1.00e-06,92.3
18,0.189466,0.717176,0.907769,0.882683,0.983028,0.870902,0.802841,0.974306,1.00e-06,92.7
19,0.159978,0.711974,0.899390,0.871502,0.983051,0.850809,0.787982,0.975717,1.00e-06,91.8
20,0.180505,0.690402,0.866528,0.828287,0.981250,0.783830,0.724630,0.976401,1.00e-06,92.2
21,0.275247,0.723516,0.903194,0.875736,0.985568,0.868436,0.782148,0.976624,1.00e-06,92.6
